dataset_id,proportion_of_village,cluster_type,n,ratio
3,0.19,hierarchical clustering,7,0.875
3,0.19,k-means,8,1
3,0.19,random,8,1
3,0.2,hierarchical clustering,8,1
3,0.2,k-means,8,1
3,0.2,random,7,0.875
3,0.21000000000000002,hierarchical clustering,7,0.875
3,0.21000000000000002,k-means,7,0.875
3,0.21000000000000002,random,8,1
3,0.22000000000000003,hierarchical clustering,7,0.875
3,0.22000000000000003,k-means,7,0.875
3,0.22000000000000003,random,7,0.875
3,0.22999999999999998,hierarchical clustering,7,0.875
3,0.22999999999999998,k-means,7,0.875
3,0.22999999999999998,random,7,0.875
3,0.24,hierarchical clustering,8,1
3,0.24,k-means,8,1
3,0.24,random,8,1
3,0.25,hierarchical clustering,7,0.875
3,0.25,k-means,7,0.875
3,0.25,random,8,1
3,0.26,hierarchical clustering,7,0.875
3,0.26,k-means,8,1
3,0.26,random,7,0.875
3,0.27,hierarchical clustering,7,0.875
3,0.27,k-means,7,0.875
3,0.27,random,7,0.875
3,0.28,hierarchical clustering,7,0.875
3,0.28,k-means,8,1
3,0.28,random,6,0.75
3,0.29,hierarchical clustering,8,1
3,0.29,k-means,7,0.875
3,0.29,random,8,1
3,0.3,hierarchical clustering,7,0.875
3,0.3,k-means,7,0.875
3,0.3,random,7,0.875
3,0.31,hierarchical clustering,7,0.875
3,0.31,k-means,8,1
3,0.31,random,8,1
3,0.32,hierarchical clustering,8,1
3,0.32,k-means,6,0.75
3,0.32,random,8,1
3,0.33,hierarchical clustering,7,0.875
3,0.33,k-means,8,1
3,0.33,random,7,0.875
3,0.33999999999999997,hierarchical clustering,8,1
3,0.33999999999999997,k-means,7,0.875
3,0.33999999999999997,random,8,1
3,0.35,hierarchical clustering,8,1
3,0.35,k-means,8,1
3,0.35,random,8,1
3,0.36,hierarchical clustering,8,1
3,0.36,k-means,7,0.875
3,0.36,random,8,1
3,0.37,hierarchical clustering,8,1
3,0.37,k-means,7,0.875
3,0.37,random,7,0.875
3,0.38,hierarchical clustering,8,1
3,0.38,k-means,8,1
3,0.38,random,8,1
3,0.39,hierarchical clustering,8,1
3,0.39,k-means,8,1
3,0.39,random,7,0.875
3,0.4,hierarchical clustering,8,1
3,0.4,k-means,7,0.875
3,0.4,random,8,1
3,0.41,hierarchical clustering,8,1
3,0.41,k-means,8,1
3,0.41,random,8,1
3,0.42,hierarchical clustering,7,0.875
3,0.42,k-means,8,1
3,0.42,random,8,1
3,0.43,hierarchical clustering,8,1
3,0.43,k-means,7,0.875
3,0.43,random,7,0.875
3,0.44,hierarchical clustering,8,1
3,0.44,k-means,8,1
3,0.44,random,8,1
3,0.45,hierarchical clustering,8,1
3,0.45,k-means,8,1
3,0.45,random,8,1
3,0.46,hierarchical clustering,8,1
3,0.46,k-means,8,1
3,0.46,random,7,0.875
3,0.47,hierarchical clustering,8,1
3,0.47,k-means,8,1
3,0.47,random,8,1
3,0.48,hierarchical clustering,8,1
3,0.48,k-means,8,1
3,0.48,random,8,1
3,0.49,hierarchical clustering,8,1
3,0.49,k-means,8,1
3,0.49,random,8,1
3,0.5,hierarchical clustering,8,1
3,0.5,k-means,8,1
3,0.5,random,8,1
3,0.51,hierarchical clustering,8,1
3,0.51,k-means,8,1
3,0.51,random,8,1
3,0.52,hierarchical clustering,8,1
3,0.52,k-means,8,1
3,0.52,random,8,1
3,0.53,hierarchical clustering,8,1
3,0.53,k-means,8,1
3,0.53,random,8,1
3,0.54,hierarchical clustering,8,1
3,0.54,k-means,8,1
3,0.54,random,8,1
3,0.55,hierarchical clustering,8,1
3,0.55,k-means,8,1
3,0.55,random,8,1
3,0.56,hierarchical clustering,8,1
3,0.56,k-means,8,1
3,0.56,random,8,1
3,0.5700000000000001,hierarchical clustering,8,1
3,0.5700000000000001,k-means,8,1
3,0.5700000000000001,random,8,1
3,0.5800000000000001,hierarchical clustering,8,1
3,0.5800000000000001,k-means,8,1
3,0.5800000000000001,random,8,1
3,0.5900000000000001,hierarchical clustering,8,1
3,0.5900000000000001,k-means,8,1
3,0.5900000000000001,random,8,1
3,0.6000000000000001,hierarchical clustering,8,1
3,0.6000000000000001,k-means,8,1
3,0.6000000000000001,random,8,1
3,0.6100000000000001,hierarchical clustering,8,1
3,0.6100000000000001,k-means,8,1
3,0.6100000000000001,random,8,1
3,0.6200000000000001,hierarchical clustering,8,1
3,0.6200000000000001,k-means,8,1
3,0.6200000000000001,random,8,1
3,0.63,hierarchical clustering,8,1
3,0.63,k-means,8,1
3,0.63,random,8,1
3,0.64,hierarchical clustering,8,1
3,0.64,k-means,8,1
3,0.64,random,8,1
3,0.65,hierarchical clustering,8,1
3,0.65,k-means,8,1
3,0.65,random,8,1
3,0.66,hierarchical clustering,8,1
3,0.66,k-means,8,1
3,0.66,random,8,1
3,0.67,hierarchical clustering,8,1
3,0.67,k-means,8,1
3,0.67,random,8,1
3,0.68,hierarchical clustering,8,1
3,0.68,k-means,8,1
3,0.68,random,8,1
3,0.6900000000000001,hierarchical clustering,8,1
3,0.6900000000000001,k-means,8,1
3,0.6900000000000001,random,8,1
3,0.7000000000000001,hierarchical clustering,8,1
3,0.7000000000000001,k-means,8,1
